Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
IDA only,2020,65.1059048304073,47.4248830395625,9.14601765887203,0.130509259435628,0.9382708046348398,58.076330929422056,1206.83008130236,7431084412.869141,64.8227961408971,76.011100769043,3874587.1001074314,75.261891283483
Isle of Man,2020,80.588,100.0,7.637416501717212,0.00151511241148431,0.9382708046348398,58.076330929422056,102739.5947156772,-496782396.8978882,47.102,37.6882400512695,1597910.090713784,13.23146708211425
India,2020,70.15,98.4632873535156,11.9647655687495,0.416940354514132,17.541128487696824,85.0,1910.42147282449,-35929590251.2004,65.074,94.5591354370117,3280413.070159346,89.0
Not classified,2020,49.539,0.0,0.16256240180359782,-0.17497190502661653,2.576611835885842,5.765853658536798,143.456124984427,-413328246.216457,79.347,43.4470104180964,533626.3027023375,8.143669985775432
Ireland,2020,82.5560975609756,100.0,156.021033923381,-21.5954436879437,69.75538449072201,0.0,85420.1908556097,-105271758512.651,36.347,98.976432800293,8089.069805965701,92.0
"Iran, Islamic Rep.",2020,74.832,100.0,0.0,0.0326985525508376,60.37793263646927,98.0,2746.42044957439,1168052133.1851196,24.126,101.060676574707,583699.8597475453,99.0
Iraq,2020,69.123,100.0,9.54456763321867,0.0798395410437845,63.86823596142949,99.0,4332.30412463995,-2197990771.81208,29.107,74.62167603575267,268170.4928714223,76.0
Iceland,2020,83.0634146341463,100.0,21.6908895241958,-1.73912431491315,71.3252788806958,89.81841017745728,59200.1779441092,829263543.3355408,6.102,99.3720169067383,155.96033728919429,93.0
Israel,2020,82.6487804878049,100.0,19.3772961114791,1.07063782855978,74.24357291413435,0.0,44846.7915954816,-3649773019.28084,7.413,107.29988861084,183519.74356992193,99.0
Italy,2020,82.1951219512195,100.0,9.49101383155435,-0.00405306358714448,68.27657672257806,99.0,31911.0357890017,23732550751.751,28.961,97.5529403686523,342587.64141754434,92.0
