Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
Kyrgyz Republic,2021,71.9,0.0,14.766679839927,-3.91549242405779,48.72496286092428,97.0,1276.7003650159,-695598340.280338,62.854,102.401000976563,23928.708264915156,93.0
Cambodia,2021,69.584,99.6885462629564,10.241984834303,0.342781853581682,18.72020365718606,95.0,1625.23501955454,-1402682595.40049,75.332,90.6848526000977,222474.059922033,84.0
Kiribati,2021,67.417,10.2821629724107,28.0633401973935,0.0489697780803198,81.98718364260048,96.0,1606.46251377314,169020432.692308,43.665,111.95357427821772,158635.77210632665,80.0
St. Kitts and Nevis,2021,71.682,102.70064070437752,60.4106939591132,-0.241413260249455,46.82315047402972,96.0,18082.6101907478,-19945259.2592593,69.094,120.792083740234,158635.77210632665,96.0
"Korea, Rep.",2021,83.5268292682927,100.0368890522112,13.5389107970384,3.64451729846239,37.49745563568581,98.0,34997.7816427848,20160962160.9459,18.586,99.17353864798898,639759.0749964104,98.0
Kuwait,2021,78.673,100.0,24.998690960255175,5.122739818174807,76.52909812819053,99.0,40247.56626579305,13971995179.295593,0.0,79.3535766601563,26829.612041832763,94.0
Latin America & Caribbean (excluding high income),2021,71.8989019226457,95.19763328442514,6.95046758734276,0.561732781407809,62.675462846480286,80.5500905992072,7728.03330913836,1090234235.3706055,19.1145973146383,103.62322581406193,2495058.0316396207,81.790187651523
Lao PDR,2021,68.061,99.96395340826894,2.00415617479537,0.0,21.289998109283488,80.0,2535.6234315211,-1137235761.03847,63.061,88.1973037719727,155682.99853121396,73.0
Lebanon,2021,75.047,0.0,45.7712056517969,0.121114786819828,72.16332820138837,0.0,4136.14634699332,-900000000.0,10.907,11.849720517363949,97642.08788417606,67.0
Liberia,2021,60.747,100.0,40.8926624840107,2.59396976346537,24.678167625530023,81.0,675.66318584916,-212000000.0,47.427,11.849720517363949,1187.0060282194754,58.0
Libya,2021,71.911,0.993523001670837,10.195295857162591,-0.129269655945931,67.93614509899248,74.0,6357.19555043805,-101400000.0,19.006,29.2865791320801,25615.227201174945,73.0
St. Lucia,2021,71.111,99.1530075073242,53.802826014685,-1.59076016589561,41.998182211058065,81.0,9414.22623085983,-61564037.037037,81.06,68.1863174438477,123005.50949732354,77.0
Latin America & Caribbean,2021,72.1474457362807,95.51730932884175,7.46056288822903,1.27906482176942,63.06143425123969,80.587525971013,8327.60519038265,-9956840.266324043,18.6229650343222,103.15207890584963,2915391.1605172753,81.4457634737888
Least developed countries: UN classification,2021,64.2158675035077,41.43477488782764,7.75013246150526,-0.00428102601081009,19.435384311004213,76.7515599016602,1164.91831596213,-9956840.266324043,64.7313102973389,72.58453433395266,3345850.645281464,69.5849355292258
Low income,2021,62.0947639485769,11.3558386926377,10.2051674754079,0.227315236298799,19.508436418093538,76.0270278267308,793.945722043348,-9956840.266324043,65.7735651334155,65.39299167470745,3203623.164560154,67.3654525275057
Liechtenstein,2021,84.4024390243902,100.0,9.14935945754624,-0.03058978579604954,5.6893021442001555,28.071202230505605,178503.71481918357,-713911300.1631317,85.529,36.7038688659668,1354237.725024581,13.278693034928438
Sri Lanka,2021,76.399,100.0,13.549058894267546,0.0196123377347599,18.40103449207254,99.0,4013.68765683604,-2044474949.71842,81.14,107.51857159466476,324569.06715552695,97.0
Lower middle income,2021,67.0220547033,85.82659786744352,9.55235121241751,0.354771020206231,25.356687158550358,83.7677949516295,2572.70514396668,-253125000.0,57.0028348911579,96.20976398684434,11025607.518183112,80.517343522998
Low & middle income,2021,69.7186315466309,0.0,6.83289132441084,0.813174354577092,33.40969370972175,84.269720190277,5494.39698101105,-253125000.0,48.3428764783796,90.05406294477746,23523840.380779862,80.6419697145183
Lesotho,2021,53.062,63.1753102629965,17.0635631201719,0.06193585250228584,21.452794209005333,96.0,1094.09818489303,347186586.100266,70.52,90.99479101238603,2000.0,90.0
Late-demographic dividend,2021,76.342110106899,1.98883330821991,9.26687076067256,1.57407317275952,40.66026522969128,92.7540164541585,11465.857770559,42795389.0489914,35.1238865770563,94.80123977950129,10141184.961458184,93.0728416143225
